ID	SMILES	InChI	InChIKey
BW114	C1=CC=C(C=C1)S(=O)(=O)N2C3=CC=CC=C3C=C2C4(C=CC(=O)C=C4)O	InChI=1S/C20H15NO4S/c22-16-10-12-20(23,13-11-16)19-14-15-6-4-5-9-18(15)21(19)26(24,25)17-7-2-1-3-8-17/h1-14,23H	HWKQYGBAAMKHDY-UHFFFAOYSA-N
PMX464	C1=CC=C2C(=C1)N=C(S2)C3(C=CC(=O)C=C3)O	InChI=1S/C13H9NO2S/c15-9-5-7-13(16,8-6-9)12-14-10-3-1-2-4-11(10)17-12/h1-8,16H	SDYBYKXWYDVVKP-UHFFFAOYSA-N
